SiteName,date,PM2.5,AQI,CO,NO2,O3,SO2,SiteTypes,SiteX,SiteY
奥体中心,20160101,164.9583333,154.5833333,3.929166667,122.625,10.66666667,45.66666667,城区环境评价点,116.397,39.982
奥体中心,20160626,39.9047619,68.08333333,0.454166667,35.125,119.173913,4.875,城区环境评价点,116.397,39.982
奥体中心,20160505,48.70833333,55.125,0.945833333,41.04166667,82.13043478,14.83333333,城区环境评价点,116.397,39.982
奥体中心,20160307,50,120.75,0.991666667,30.41666667,53.33333333,14.83333333,城区环境评价点,116.397,39.982
奥体中心,20160907,40.25,67.91666667,0.607142857,43.71428571,106.8571429,4,城区环境评价点,116.397,39.982
奥体中心,20160314,78.61904762,90.39130435,1.263636364,49.63636364,43.85714286,22,城区环境评价点,116.397,39.982
奥体中心,20160717,81.17391304,89.47826087,0.956521739,45.60869565,118.4347826,2.608695652,城区环境评价点,116.397,39.982
奥体中心,20160122,17.75,110.7083333,0.8,19.625,58.26086957,5.25,城区环境评价点,116.397,39.982
奥体中心,20161119,127.5833333,215.9166667,1.945833333,67.79166667,21.54166667,5.583333333,城区环境评价点,116.397,39.982
奥体中心,20160526,22.70833333,48.29166667,0.308333333,23.45833333,91.83333333,4,城区环境评价点,116.397,39.982
奥体中心,20160404,68.875,73.33333333,0.5875,36.70833333,72.54166667,9.75,城区环境评价点,116.397,39.982
奥体中心,20160928,15.90909091,29,0.51875,59.53846154,22,2,城区环境评价点,116.397,39.982
奥体中心,20160807,19.13043478,70.65,0.639130435,23,100.0869565,2.130434783,城区环境评价点,116.397,39.982
奥体中心,20160212,155.125,190.2916667,2.558333333,48.29166667,30.125,23.20833333,城区环境评价点,116.397,39.982
奥体中心,20161210,44.45833333,56.79166667,1.433333333,67.34782609,10.82608696,14.83333333,城区环境评价点,116.397,39.982
奥体中心,20160616,23.28571429,46.58333333,0.491666667,38.125,82.69565217,2.083333333,城区环境评价点,116.397,39.982
奥体中心,20161019,226.6956522,222.6956522,2.32173913,97.18181818,13.18181818,3.434782609,城区环境评价点,116.397,39.982
奥体中心,20160425,84.58333333,116.7083333,0.725,25.41666667,111.2173913,14.20833333,城区环境评价点,116.397,39.982
奥体中心,20160226,33.625,45.41666667,0.729166667,33.16666667,54.875,12.66666667,城区环境评价点,116.397,39.982
奥体中心,20160304,348.9166667,398.7083333,5.429166667,100.0833333,8.434782609,65.91666667,城区环境评价点,116.397,39.982
奥体中心,20160707,108.5416667,119.0416667,1.233333333,29.83333333,162.375,7.791666667,城区环境评价点,116.397,39.982
奥体中心,20160112,12.83333333,26.56521739,0.6625,30.08333333,48.2173913,8.791666667,城区环境评价点,116.397,39.982
奥体中心,20161109,159.0909091,126.5833333,2.630434783,96.08695652,3.739130435,14.2173913,城区环境评价点,116.397,39.982
奥体中心,20160516,26.5,54.16666667,0.491666667,39.5,64.66666667,3.958333333,城区环境评价点,116.397,39.982
奥体中心,20160318,213.0833333,352.3333333,1.779166667,57.25,61.60869565,13.45833333,城区环境评价点,116.397,39.982
奥体中心,20160918,20.91666667,49.22727273,0.391666667,35.625,21.875,2,城区环境评价点,116.397,39.982
奥体中心,20160325,16.45454545,33.0952381,0.445454545,31.72727273,66.36363636,2.045454545,城区环境评价点,116.397,39.982
奥体中心,20160202,24.75,30.75,0.933333333,47.33333333,44.75,16.83333333,城区环境评价点,116.397,39.982
奥体中心,20160530,77.16666667,97.95833333,1.113636364,36.81818182,164.8181818,20.5,城区环境评价点,116.397,39.982
奥体中心,20160606,88.08333333,107.0833333,0.8875,26.33333333,146.5652174,8.25,城区环境评价点,116.397,39.982
奥体中心,20161009,30.41666667,47.54166667,0.675,56.30434783,16.69565217,3.875,城区环境评价点,116.397,39.982
奥体中心,20160415,61.875,74.04166667,1.133333333,50.29166667,51.60869565,20.79166667,城区环境评价点,116.397,39.982
奥体中心,20160216,6.416666667,55.16666667,0.291666667,13.5,71.20833333,19.625,城区环境评价点,116.397,39.982
奥体中心,20160818,82.41666667,115.25,1.583333333,49.69565217,29.2173913,2,城区环境评价点,116.397,39.982
奥体中心,20160223,13.45833333,50.625,0.404166667,15.54166667,67.47826087,7.458333333,城区环境评价点,116.397,39.982
奥体中心,20160102,272.7916667,274,5.6125,143.875,14.34782609,49.54166667,城区环境评价点,116.397,39.982
奥体中心,20160627,57.95833333,70.45833333,0.6625,30.29166667,126.9166667,6.916666667,城区环境评价点,116.397,39.982
奥体中心,20160506,64.75,136.2916667,0.183333333,13.125,88.125,2,城区环境评价点,116.397,39.982
奥体中心,20160308,16.8125,34.41666667,0.325,12.125,70.5625,3.9375,城区环境评价点,116.397,39.982
奥体中心,20160908,20.66666667,55.625,0.479166667,48.95833333,52.58333333,2,城区环境评价点,116.397,39.982
奥体中心,20160315,147.65,147.8,1.48,57.8,31.4,54.35,城区环境评价点,116.397,39.982
奥体中心,20160718,102.5416667,129.3333333,1.125,57.04166667,95.69565217,3.25,城区环境评价点,116.397,39.982
奥体中心,20160123,9.739130435,30.04347826,0.634782609,13.2173913,56.91304348,2,城区环境评价点,116.397,39.982
奥体中心,20161120,53.65217391,120.25,1.154166667,44.31818182,9.52173913,2.217391304,城区环境评价点,116.397,39.982
奥体中心,20160527,44.75,65.5,0.595454545,34.77272727,115.8181818,14.63636364,城区环境评价点,116.397,39.982
奥体中心,20160405,114.3043478,131.0869565,0.960869565,42.65217391,82.18181818,19.18181818,城区环境评价点,116.397,39.982
奥体中心,20160929,54.125,60.875,0.723809524,61.68181818,32.95454545,4.2,城区环境评价点,116.397,39.982
奥体中心,20160808,33.94444444,44.35294118,0.666666667,31.23529412,86.47058824,2,城区环境评价点,116.397,39.982
奥体中心,20160213,9.75,114.2083333,0.404166667,8.791666667,62.17391304,6.083333333,城区环境评价点,116.397,39.982
奥体中心,20161211,176.7916667,134.9130435,3.9375,114.9166667,4.458333333,34.75,城区环境评价点,116.397,39.982
奥体中心,20160617,13.40909091,48.08333333,0.570833333,41,53.125,2,城区环境评价点,116.397,39.982
奥体中心,20161020,93.79166667,235.0416667,1.4,68.16666667,12.875,4.5,城区环境评价点,116.397,39.982
奥体中心,20160426,69.58333333,109.4583333,1.454166667,36.75,97.20833333,29,城区环境评价点,116.397,39.982
奥体中心,20160227,20.54166667,48.45833333,0.579166667,27.16666667,56.95652174,8.75,城区环境评价点,116.397,39.982
奥体中心,20160305,70.375,314.4166667,0.420833333,18.5,66.16666667,4.458333333,城区环境评价点,116.397,39.982
奥体中心,20160708,91.04166667,125.2916667,1.1625,35.70833333,122.8695652,6.083333333,城区环境评价点,116.397,39.982
奥体中心,20160113,19.58333333,35.16666667,0.8625,53.45833333,35.95833333,14.5,城区环境评价点,116.397,39.982
奥体中心,20161110,147.5833333,232,1.730434783,75.72727273,10.7826087,5.625,城区环境评价点,116.397,39.982
奥体中心,20160517,62.54166667,77.33333333,0.658333333,41.04166667,123,11.29166667,城区环境评价点,116.397,39.982
奥体中心,20160319,70.79166667,134.0833333,1.158333333,32.79166667,64.75,16.04166667,城区环境评价点,116.397,39.982
奥体中心,20160919,10.70833333,28.95833333,0.295833333,38.30434783,35.65217391,2,城区环境评价点,116.397,39.982
奥体中心,20160326,10.75,35.04166667,0.4,26.08333333,71.17391304,9.541666667,城区环境评价点,116.397,39.982
奥体中心,20160203,33.95833333,46.29166667,1.129166667,56.04166667,35.13043478,23.25,城区环境评价点,116.397,39.982
奥体中心,20160531,43.41666667,97,0.783333333,29.20833333,84.60869565,11.04166667,城区环境评价点,116.397,39.982
奥体中心,20160607,57.54166667,102.7083333,0.833333333,18.625,120.125,2.333333333,城区环境评价点,116.397,39.982
奥体中心,20161010,92.27272727,74.75,1.191666667,85,15.29166667,8.625,城区环境评价点,116.397,39.982
奥体中心,20160416,26.16666667,83.29166667,0.279166667,15.70833333,64.95833333,3.666666667,城区环境评价点,116.397,39.982
奥体中心,20160217,47.27272727,42.83333333,1.120833333,49,39.43478261,13.5,城区环境评价点,116.397,39.982
奥体中心,20160819,19.75,61.16666667,0.845833333,31.91666667,73.58333333,2,城区环境评价点,116.397,39.982
奥体中心,20160224,25.79166667,33.91666667,0.841666667,36.16666667,47.08333333,11.54166667,城区环境评价点,116.397,39.982
奥体中心,20160103,263.375,354.4583333,4.295833333,106.1666667,13.83333333,21.875,城区环境评价点,116.397,39.982
奥体中心,20160628,73.70833333,82.45833333,0.729166667,24.45833333,85.04347826,2,城区环境评价点,116.397,39.982
奥体中心,20160507,19.69565217,42.70833333,0.25,27.33333333,86.69565217,3.041666667,城区环境评价点,116.397,39.982
奥体中心,20160309,35.13333333,25.42857143,0.343478261,12.65217391,65.43478261,4.695652174,城区环境评价点,116.397,39.982
奥体中心,20160909,19.91666667,52.70833333,0.408333333,52.30434783,37.34782609,3.541666667,城区环境评价点,116.397,39.982
奥体中心,20160316,259.125,259.3333333,2.541666667,62.66666667,60.60869565,40.95833333,城区环境评价点,116.397,39.982
奥体中心,20160719,97.75,132.3333333,1.1125,47,41.625,2.208333333,城区环境评价点,116.397,39.982
奥体中心,20160124,12.45833333,55.58333333,0.8125,25.20833333,51.95652174,7.458333333,城区环境评价点,116.397,39.982
奥体中心,20161121,9.791666667,39.45833333,0.420833333,15,59.91666667,3.958333333,城区环境评价点,116.397,39.982
