"shop_ID" "region" "food_type" "review_n" "taste" "environment" "service" "score_avg" "cost_avg" "heat"
508022 "北太平庄" "火锅" 571 21 19 17 3.57 50 "5"
508241 "五道口" "咖啡厅" 260 24 26 26 4.04 37 "4"
508272 "五道口" "咖啡厅" 58 19 23 20 3.64 32 "3"
508302 "北太平庄" "小吃" 339 19 13 12 3.34 31 "5"
508452 "北太平庄" "北京菜" 901 24 21 19 3.77 96 "5"
508491 "北太平庄" "火锅" 571 19 16 17 3.62 42 "5"
508739 "北太平庄" "川菜" 694 26 14 15 3.73 69 "5"
509126 "五道口" "川菜" 374 18 16 14 3.25 46 "5"
509198 "五道口" "咖啡厅" 456 21 25 21 3.63 40 "5"
509479 "五道口" "小吃" 492 20 17 16 3.42 28 "5"
510020 "五道口" "韩国料理" 1153 23 17 17 3.64 48 "5"
510090 "北太平庄" "韩国料理" 977 24 21 22 3.98 60 "5"
510125 "北太平庄" "火锅" 231 21 15 18 3.45 40 "4"
510502 "北太平庄" "川菜" 108 21 16 18 3.54 36 "3"
510548 "北太平庄" "快餐" 136 19 15 15 3.18 15 "4"
510895 "北太平庄" "韩国料理" 1213 26 22 23 4.03 63 "5"
511023 "五道口" "川菜" 112 20 16 16 3.24 47 "4"
511051 "北太平庄" "面包" 27 22 18 19 3.22 14 "2"
511122 "北太平庄" "北京菜" 44 21 20 21 3.55 36 "3"
511159 "北太平庄" "面包" 745 26 22 20 3.99 21 "5"
511220 "北太平庄" "川菜" 200 22 21 19 3.61 60 "4"
511314 "五道口" "北京菜" 792 21 19 17 3.54 46 "5"
511360 "五道口" "火锅" 39 20 14 15 3.44 37 "3"
511362 "五道口" "川菜" 368 20 22 17 3.5 65 "5"
511448 "五道口" "北京菜" 169 23 22 21 3.8 57 "4"
511476 "北太平庄" "小吃" 343 23 13 13 3.54 15 "5"
511588 "五道口" "火锅" 982 22 19 18 3.63 63 "5"
511595 "五道口" "咖啡厅" 102 21 21 21 3.56 33 "3"
511596 "五道口" "北京菜" 755 21 20 18 3.66 53 "5"
511677 "五道口" "韩国料理" 243 26 21 19 3.7 68 "4"
511679 "北太平庄" "北京菜" 84 21 17 20 3.29 35 "3"
511846 "五道口" "小吃" 136 20 17 17 3.36 40 "4"
512001 "北太平庄" "咖啡厅" 80 23 25 25 4.05 42 "3"
512076 "北太平庄" "北京菜" 713 26 15 19 3.97 33 "5"
512263 "五道口" "北京菜" 563 20 19 18 3.43 44 "5"
512363 "五道口" "韩国料理" 294 25 18 20 3.63 54 "4"
512426 "北太平庄" "川菜" 511 23 20 18 3.83 46 "5"
512468 "北太平庄" "咖啡厅" 45 19 17 18 3.4 35 "3"
512479 "五道口" "北京菜" 92 24 23 20 3.68 59 "3"
512509 "北太平庄" "川菜" 857 25 27 24 3.82 78 "5"
512619 "五道口" "小吃" 1356 20 17 16 3.51 27 "5"
512667 "北太平庄" "小吃" 233 18 16 13 3.21 27 "4"
512753 "北太平庄" "火锅" 160 21 17 17 3.35 48 "4"
512791 "北太平庄" "北京菜" 75 22 18 19 3.68 30 "3"
512917 "北太平庄" "北京菜" 431 22 15 17 3.51 47 "5"
513165 "北太平庄" "川菜" 429 25 15 17 3.87 50 "5"
513218 "五道口" "北京菜" 144 22 19 20 3.46 46 "4"
513304 "北太平庄" "北京菜" 398 20 18 16 3.22 46 "5"
513604 "北太平庄" "北京菜" 568 24 21 21 3.72 53 "5"
513728 "北太平庄" "小吃" 99 21 17 18 3.41 13 "3"
513760 "北太平庄" "小吃" 32 21 12 14 2.93 12 "2"
513979 "北太平庄" "川菜" 64 20 15 16 3.07 28 "3"
514127 "北太平庄" "北京菜" 50 21 19 18 3.2 28 "3"
514356 "北太平庄" "快餐" 169 16 16 16 3.21 20 "4"
514466 "北太平庄" "北京菜" 112 23 20 21 3.79 37 "4"
514779 "北太平庄" "小吃" 1184 23 19 21 3.7 39 "5"
514881 "五道口" "北京菜" 49 22 24 22 3.02 144 "3"
515342 "五道口" "韩国料理" 1143 22 17 18 3.63 54 "5"
515381 "北太平庄" "火锅" 3210 27 23 33 4.32 66 "5"
515737 "五道口" "小吃" 105 23 14 15 3.38 13 "3"
515995 "五道口" "韩国料理" 309 23 24 21 3.72 65 "4"
516005 "北太平庄" "北京菜" 27 25 26 24 3.68 414 "2"
516103 "五道口" "面包" 1354 26 26 22 3.89 27 "5"
516166 "五道口" "川菜" 17 22 17 17 3.16 30 "2"
